patient,pseudopatient,metasig1,metasig2,metasig3,metasig4,metasig5,Macrophage,Oligodendrocyte,T-cell
MGH136,0,0.12903225806451613,0.22580645161290322,0.25806451612903225,0.03225806451612903,0.3225806451612903,0.0,0.03225806451612903,0.0
MGH136,1,0.5616438356164384,0.0821917808219178,0.1232876712328767,0.0,0.2191780821917808,0.0,0.0136986301369863,0.0
MGH136,2,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.7931034482758621,0.0,0.034482758620689655,0.0
MGH136,3,0.6875,0.0625,0.125,0.0,0.125,0.0,0.0,0.0
MGH143,0,0.04081632653061224,0.0,0.6122448979591837,0.2653061224489796,0.061224489795918366,0.0,0.02040816326530612,0.0
MGH143,1,0.0,0.1,0.5,0.15,0.2,0.0,0.05,0.0
MGH143,2,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.05555555555555555,0.0,0.05555555555555555,0.0
MGH143,3,0.19047619047619047,0.12698412698412698,0.047619047619047616,0.49206349206349204,0.12698412698412698,0.0,0.015873015873015872,0.0
MGH143,4,0.14285714285714285,0.10714285714285714,0.07142857142857142,0.6785714285714286,0.0,0.0,0.0,0.0
MGH151,0,0.07272727272727272,0.0,0.05454545454545454,0.10909090909090909,0.16363636363636364,0.0,0.6,0.0
MGH151,1,0.125,0.0,0.0625,0.03125,0.78125,0.0,0.0,0.0
MGH152,0,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.5714285714285714,0.047619047619047616,0.0,0.047619047619047616,0.0
MGH152,1,0.4166666666666667,0.08333333333333333,0.05555555555555555,0.3055555555555556,0.1111111111111111,0.0,0.027777777777777776,0.0
MGH152,2,0.02857142857142857,0.02857142857142857,0.11428571428571428,0.4857142857142857,0.34285714285714286,0.0,0.0,0.0
MGH66,0,0.0625,0.08333333333333333,0.041666666666666664,0.7916666666666666,0.0,0.020833333333333332,0.0,0.0
MGH66,1,0.3333333333333333,0.16666666666666666,0.4,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0
MGH66,2,0.06666666666666667,0.2,0.0,0.6333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0
MGH66,3,0.057692307692307696,0.34615384615384615,0.19230769230769232,0.2692307692307692,0.11538461538461539,0.019230769230769232,0.0,0.0
MGH66,4,0.058823529411764705,0.0,0.08823529411764706,0.6470588235294118,0.17647058823529413,0.029411764705882353,0.0,0.0
MGH66,5,0.02631578947368421,0.3157894736842105,0.21052631578947367,0.3684210526315789,0.07894736842105263,0.0,0.0,0.0
BT1160,0,0.28,0.0,0.42,0.04,0.26,0.0,0.0,0.0
BT1160,1,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.6666666666666666,0.0,0.0,0.0
BT1160,2,0.41379310344827586,0.10344827586206896,0.27586206896551724,0.06896551724137931,0.13793103448275862,0.0,0.0,0.0
BT1160,3,0.5365853658536586,0.2926829268292683,0.07317073170731707,0.0,0.0975609756097561,0.0,0.0,0.0
BT749,0,0.175,0.025,0.525,0.05,0.175,0.0,0.05,0.0
BT749,1,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.0,0.1111111111111111,0.0
BT749,2,0.14285714285714285,0.05714285714285714,0.14285714285714285,0.2,0.42857142857142855,0.0,0.02857142857142857,0.0
BT749,3,0.4,0.02,0.34,0.02,0.22,0.0,0.0,0.0
BT771,0,0.22727272727272727,0.38636363636363635,0.13636363636363635,0.0,0.0,0.1590909090909091,0.09090909090909091,0.0
BT771,1,0.0625,0.625,0.03125,0.09375,0.1875,0.0,0.0,0.0
BT786,0,0.021739130434782608,0.0,0.6304347826086957,0.21739130434782608,0.06521739130434782,0.021739130434782608,0.043478260869565216,0.0
BT786,1,0.0,0.0,0.56,0.24,0.2,0.0,0.0,0.0
BT830,0,0.14893617021276595,0.02127659574468085,0.0851063829787234,0.3191489361702128,0.425531914893617,0.0,0.0,0.0
BT830,1,0.02564102564102564,0.46153846153846156,0.28205128205128205,0.23076923076923078,0.0,0.0,0.0,0.0
BT85,0,0.2,0.0,0.4727272727272727,0.05454545454545454,0.2545454545454545,0.0,0.01818181818181818,0.0
BT85,1,0.1875,0.03125,0.09375,0.03125,0.625,0.0,0.03125,0.0
BT920,0,0.21875,0.03125,0.03125,0.375,0.0625,0.28125,0.0,0.0
BT920,1,0.3611111111111111,0.013888888888888888,0.05555555555555555,0.4444444444444444,0.027777777777777776,0.09722222222222222,0.0,0.0
BT920,2,0.08888888888888889,0.022222222222222223,0.06666666666666667,0.6222222222222222,0.08888888888888889,0.1111111111111111,0.0,0.0
BT920,3,0.21052631578947367,0.0,0.10526315789473684,0.3157894736842105,0.2631578947368421,0.10526315789473684,0.0,0.0
BT920,4,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.7142857142857143,0.07142857142857142,0.0,0.0,0.0
