,0
850,JAM2
851,NME5
852,POP5
853,ANKFY1
854,GLT8D1
855,DPM3
856,YIF1B
857,LAMC1
858,MPV17
859,DNALI1
860,CLDN12
861,CRTAP
862,NDUFC1
863,NOTCH3
864,MARC2
865,BCL2L1
866,RNH1
867,TMEM255A
868,CFL2
869,C14orf119
870,POR
871,TEX2
872,EFHC1
873,CYSTM1
874,KIAA0040
875,SLC35F6
876,EPDR1
877,WDR1
878,PLOD1
879,TRPT1
880,POLR2G
881,RETSAT
882,PQLC3
883,PSMF1
884,SEPN1
885,GINM1
886,NR1H2
887,BMPR1A
888,P2RY1
889,SKP1
890,LAMTOR1
891,HERC6
892,TSPO
893,CEP112
894,MRPS14
895,IDH1
896,RCN1
897,DHRS4L2
898,MEIS1-AS2
899,NAGA
900,DHCR7
901,CCDC106
902,COPS6
903,YTHDF3-AS1
904,NDUFV1
905,FBXO4
906,CLSTN1
907,DNPEP
908,MSMO1
909,C20orf96
910,RGS20
911,WDR34
912,MTHFD1
913,SAT1
914,TMED7
915,ARL1
916,ERAP2
917,GYPC
918,PDE8A
919,MGST3
920,GLUD1
921,TUBB6
922,ZNF771
923,GAB3
924,MEST
925,MIR497HG
926,MPP5
927,KIAA0391
928,WDR61
929,NPTX2
930,GMPPA
931,NPEPL1
932,OTX1
933,FBXO17
934,MRAS
935,SRGAP2C
936,UNC50
937,TEAD1
938,SLC6A9
939,TSKU
940,SIPA1L2
941,ID4
942,CRTC3
943,GPI
944,PLCE1
945,RBBP7
946,NME4
947,DERA
948,ITPRIP
949,CTBS
950,GFAP
951,MAN2B2
952,ACO2
953,UNC93B1
954,POC1B
955,NECAB1
956,TWSG1
957,NFE2L2
958,PLOD3
959,DHRS7B
960,EGFR-AS1
961,TMEM158
962,ABHD12
963,RFX2
964,NDRG2
965,KIF9
966,PCED1A
967,MCCC2
968,PCDHGA10
969,DGKZ
970,SPRED2
971,KLF6
972,PAXIP1-AS2
973,SSBP2
974,METTL7A
975,ST8SIA1
976,GALC
977,UBE2L6
978,AAMDC
979,PTPN14
980,HSD17B8
981,MYBPC1
982,SLC35D1
983,TMEM64
984,GOLIM4
985,C1orf226
986,RAB8A
987,DNAJC10
988,SMIM3
989,SGSH
990,ITGA3
991,SLC22A18
992,NEAT1
993,CCDC109B
994,OST4
995,RHOU
996,SEPT11
997,CAPG
998,TMED9
999,PDLIM5
1000,ADAM12
1001,LFNG
1002,AP2A1
1003,BRAT1
1004,TMEM141
1005,PDIA6
1006,MTMR11
1007,BOC
1008,UNC5C
1009,GORASP1
1010,ANKRD40
1011,MTRNR2L6
1012,DCXR
1013,NDUFS3
1014,FREM2
1015,NDUFB2
1016,RBM42
1017,PEX2
1018,IFI16
1019,CHL1-AS1
1020,DRG2
1021,ADAM10
1022,SLC8A1
1023,C7orf49
1024,DCN
1025,CPNE8
1026,ARL6IP5
1027,MID1
1028,MPG
1029,MSI2
1030,DBNDD2
1031,TMEM104
1032,TAP2
1033,FBXW9
1034,APOA1BP
1035,DDRGK1
1036,NHSL1
1037,EEA1
1038,LINC00936
1039,SOCS2-AS1
1040,XAF1
1041,COX4I1
1042,COL27A1
1043,SOAT1
1044,PTTG1IP
1045,PSMB3
1046,TMEM67
1047,GADD45B
1048,FAT3
1049,MACF1
1050,TPP1
1051,SPTSSA
1052,ITFG3
1053,PRKD1
1054,PABPC1L
1055,SCAMP2
1056,DNAH9
1057,SPP1
1058,BTBD1
1059,PEF1
1060,URB1-AS1
1061,RAB4A
1062,ACSS2
1063,HDDC3
1064,CCNYL1
1065,GNS
1066,CLMN
1067,MTM1
1068,C6orf226
1069,OXLD1
1070,APEH
1071,PRMT3
1072,EPHB4
1073,TCEA1
1074,HAUS4
1075,CYP51A1
1076,NDUFS7
1077,FBXL5
1078,UBA7
1079,CHID1
1080,METTL3
1081,CAMTA1
1082,TMCO4
1083,LAMP1
1084,BABAM1
1085,PTPN13
1086,ROMO1
1087,GIMAP2
1088,KEAP1
1089,ATP10D
1090,TMEM165
1091,PLXNB2
1092,CALU
1093,PFKM
1094,C21orf62
1095,GAS2L1
1096,EDEM2
1097,GNB4
1098,CASP4
1099,APRT
1100,COX7A1
1101,TLE4
1102,RAB28
1103,SLC39A11
1104,MFSD10
1105,NDUFA11
1106,COMMD10
1107,PSAT1
1108,AP3B1
1109,CHMP4A
1110,MEOX2-AS1
1111,FBLN2
1112,PTRH1
1113,ITPA
1114,OAS1
1115,MIPEP
1116,DIRAS3
1117,GMPR
1118,PRR13
1119,LAMTOR2
1120,CHN1
1121,SMPD1
1122,LAMTOR5
1123,CMYA5
1124,SELT
1125,MT1X
1126,CKB
1127,HNMT
1128,SPON1
1129,FAH
1130,PXMP2
1131,MAN1B1
1132,EMC3
1133,HLA-F
1134,TMX2
1135,HEPACAM
1136,TMEM208
1137,ALG8
1138,PYURF
1139,PIGY
1140,MYO1E
1141,ATOX1
1142,RGL1
