bcell,epi,fibro
ABHD12B,0,0.000930786216320444,0.000601151753136339
ABHD13,0.14537361318685,0.141227326245682,0.198661296615477
ABHD14A,0.199363775868456,0.295342168789424,0.431156518227685
ABHD14A-ACY1,0,6.83885943608694e-05,0
ABHD14B,0.733857425673375,0.486270309881293,0.655843635316959
ABHD15,0.114784165084698,0.0648484014181445,0.034678151981316
ABHD15-AS1,0.000266532249122789,0,0
ABHD16A,0.00685793871177094,0.0105665400519062,0.0106767890217326
ABHD16B,0,3.31431050917579e-05,0.00130024977798235
ABHD17A,0.182132512480543,0.335690793903899,0.386691436597639
ABHD17B,0.109546520975784,0.0809612380297687,0.0813442176549841
ABHD17C,0.00481221971723278,0.319214959855359,0.0605307117506271
ABHD18,0.0598982450148936,0.078167573135682,0.0406100106957369
ABHD2,0.0579831833055413,0.501516832582025,0.416596191951388
ABHD3,0.219513073922812,0.185403129913194,0.137333379876376
ABHD4,0.0186490290581319,0.0568439208505109,0.104426053361669
ABHD5,0.126126228069403,0.311496457093492,0.414568900979917
ABHD6,0.0332778280862571,0.033653770209989,0.0383882662599817
ABHD8,0.0624499181025771,0.120028831701096,0.155277361313586
ABI1,0.455127791576603,0.290246723434171,0.259711865789046
ABI2,0.103821467413407,0.371855404991765,0.607666106078509
ABI3,0.376210045768754,0.00997174239484132,0.0414106447361094
ABI3BP,0.00104846626432546,0.00886737834648413,0.764089870482468
ABL1,0.0284562497937151,0.133641079480574,0.181173041224297
ABL2,0.0835581047275298,0.268077883606545,0.53525674817598
ABLIM1,0.190415492952756,0.275674127027033,0.144272735105022
ABLIM2,0.00251474544887181,0.0136947104175171,0.0178259838181916
ABLIM3,0.000726101756257329,0.0489175788407944,0.107296581743573
ABO,0.0152025424192746,0.193897536245514,0.0132930849877989
ABR,0.0634173892175577,0.201436372898067,0.15391773603718
ABRA,0,0,0
ABRACL,0.783226050527842,0.764843649839677,0.382995480405754
ABT1,0.457635064558713,0.314642578873132,0.230900348835831
ABTB1,0.204737403787364,0.119033904547495,0.319325569005949
ABTB2,0.000992180710174744,0.0450142353718279,0.0334623297321527
AC000032.2,0,8.70812687992114e-05,0.000281163762680802
AC000035.3,0,0,0
AC000036.4,0,0.000102439054946148,0
AC000067.1,0,0,0.00584887509694656
AC000068.10,0.000843794157210918,0.00142457502294312,0.000298565740936716
AC000068.5,0.00413241429783405,0.00411000382905902,0.00163093456787417
AC000068.9,0.00100554243324866,0.00162399242040873,0
AC000111.6,0,0.000156120405963438,0
AC000124.1,0,0.000272642701733135,0
AC000403.4,0.000128340655937798,0.00167637124927453,0.0072686905029595
AC001226.7,0.000491190995662158,0.000113275018101706,0.000573253318635118
AC002064.5,0,0.00041310272100081,0
AC002066.1,0,0.004670765862677,0.00281925312194621
AC002076.10,0,0.00370570827031242,0.000915464901453743
AC002115.5,0,0,0
AC002115.9,0.000739420263518003,0.000236824852432542,0
AC002116.7,0.00494084092521152,0.00410349174839636,0.000305408463204465
AC002117.1,0.0463196849389995,0.0320179883036924,0.0304414337117706
AC002128.5,0.000362151319247668,0.000321036607812011,0
AC002306.1,0.00347694191611511,0.000544240907575307,0
AC002310.12,0.0287102153102113,0.0269186247045872,0.0234069795040454
AC002310.13,0,0,0
AC002310.7,0.000669612557136,0.00068232031631531,0.000877648062827445
AC002331.1,0.0047253804755369,0.000788230052182805,0.00573380999729901
AC002383.2,0,0,0
AC002398.11,0,0.00252156377029941,0.00353292430883197
AC002398.12,0,4.58278888082883e-05,0.000592619984805224
